n r phi z vr vphi vz mass charge
    163   1.782149   0.120959   0.962458  3.989931e+06  1.199818e+06 -1.230568e+07 4.001 2
    164   1.426092   1.043897   0.818383 -7.224667e+06  2.904660e+06 -1.039980e+07 4.001 2
    165   2.233181   2.863971   0.321214  1.259858e+07 -5.083380e+05  3.131471e+06 4.001 2
    166   2.053383   2.299990  -0.340039  1.860702e+05  9.392666e+06 -8.973963e+06 4.001 2
    167   2.266832   1.452441   0.151271  1.137346e+07 -1.794821e+06  6.017627e+06 4.001 2
    168   2.102239   1.031039   0.477109 -3.064823e+06 -3.431728e+06 -1.214985e+07 4.001 2
    169   2.046729   1.825720   0.535433 -9.396710e+06  1.530233e+06  8.840194e+06 4.001 2
    170   1.811304  -0.464301  -0.428673 -6.144861e+05 -1.092796e+07 -6.999346e+06 4.001 2
    171   2.233709   2.692588   0.147743  7.997676e+06 -1.497991e+06  1.012828e+07 4.001 2
    172   1.400581  -2.450731   0.537444  2.585838e+06 -9.622379e+06  8.337390e+06 4.001 2
    173   1.436454  -1.034982  -0.633316 -4.865253e+06  9.602825e+06 -7.273504e+06 4.001 2
    174   1.718858   1.648533   0.442996 -1.237917e+07 -1.355537e+06 -3.702377e+06 4.001 2
    175   1.663949   0.021588   0.888457  5.832579e+06 -2.509031e+06  1.133466e+07 4.001 2
    176   1.574455  -1.390707  -0.819701  7.233350e+06 -3.065957e+06 -1.034734e+07 4.001 2
    177   1.710795   0.707627  -0.404091 -3.680039e+06 -7.183569e+06 -1.018049e+07 4.001 2
    178   2.221448  -1.317573   0.020152 -1.025398e+07  2.963522e+06 -7.406904e+06 4.001 2
    179   1.844856   2.934678  -0.753247  1.071150e+07 -5.849222e+06  4.454120e+06 4.001 2
    180   1.987289  -1.014929   0.184496  4.396240e+06 -7.325252e+06  9.787878e+06 4.001 2
    181   1.724019   1.806233   0.515646  6.748745e+06 -1.364705e+06 -1.101730e+07 4.001 2
    182   2.015454  -1.158115  -0.230313 -1.817736e+06  6.017209e+05 -1.285000e+07 4.001 2
    183   2.342754  -1.703079  -0.262084  1.010992e+07 -6.539764e+06 -4.879533e+06 4.001 2
    184   2.397033   1.184038  -0.113369  1.098884e+07 -6.211379e+06 -3.074581e+06 4.001 2
    185   1.619587  -1.748918   0.680292  4.096113e+06  5.170972e+06 -1.119248e+07 4.001 2
    186   1.764333  -0.976436   0.179717 -3.888388e+06  2.372324e+06  1.216722e+07 4.001 2
    187   1.789334  -0.267337   0.419556 -1.171361e+07 -1.438258e+06  5.432450e+06 4.001 2
    188   1.686670  -0.964786  -0.847075 -7.458113e+06 -6.956058e+06 -8.048516e+06 4.001 2
    189   1.415385  -1.424067   0.521604  7.646424e+06  2.196052e+06 -1.027124e+07 4.001 2
    190   1.655534  -3.034084   0.742739  6.079152e+06  3.654853e+06 -1.088461e+07 4.001 2
    191   2.124692   0.230595  -0.027807 -3.832045e+06 -1.073831e+07  6.228400e+06 4.001 2
    192   2.009037  -1.095949   0.826890  3.297260e+04  1.779903e+06 -1.286933e+07 4.001 2
    193   2.007667   1.903692   0.575033 -1.059867e+07  3.447909e+06 -6.675996e+06 4.001 2
    194   1.685692  -1.435329  -0.220714 -8.644925e+06 -2.975733e+06  9.230336e+06 4.001 2
    195   1.852928  -1.774144  -0.624329  1.290860e+07 -1.219863e+06 -8.177591e+05 4.001 2
    196   2.222416   0.576544   0.384683 -2.826722e+06  1.259151e+07 -1.500805e+06 4.001 2
    197   1.358680  -2.665089   0.124393  9.229527e+06 -4.739603e+06 -7.819258e+06 4.001 2
    198   1.875220   2.709126  -0.581369 -6.229528e+06 -1.485053e+05  1.139999e+07 4.001 2
    199   1.798130  -0.112952   0.124143  3.465957e+06 -1.127974e+07  5.435386e+06 4.001 2
    200   2.144023   0.797075  -0.308209 -1.029702e+07 -3.364486e+05 -7.914981e+06 4.001 2
    201   1.647898   2.257371  -0.144641 -6.586413e+06 -8.374029e+05 -1.116722e+07 4.001 2
    202   1.718756  -2.391204  -0.759177  7.911502e+06  9.080552e+06 -4.872424e+06 4.001 2
    203   1.920287   2.153557  -0.059186  8.428778e+06 -7.542846e+05  9.857766e+06 4.001 2
    204   2.218937   2.465960  -0.594639 -8.316322e+05 -1.160311e+07  5.784893e+06 4.001 2
    205   2.286520   2.686285  -0.365080 -1.058106e+07 -3.739377e+06  6.545771e+06 4.001 2
    206   1.628656  -2.535350  -0.878568  9.922264e+05 -3.756630e+06  1.239726e+07 4.001 2
    207   1.562508   1.432382   0.272845  7.080093e+06  5.021501e+06 -9.666727e+06 4.001 2
    208   2.131031   2.260421   0.355852 -9.316579e+06 -6.509069e+05 -9.031416e+06 4.001 2
    209   1.581885   1.677652   0.438860 -9.784604e+06 -2.446072e+06 -8.189449e+06 4.001 2
    210   1.807838   2.522830  -0.272663 -1.257797e+07  1.019970e+06 -3.089189e+06 4.001 2
    211   1.694028   0.754373   0.546128  9.944636e+06  1.593511e+06  8.206932e+06 4.001 2
    212   2.097587   2.335392  -0.543117  9.865239e+06  8.403029e+06 -9.246467e+05 4.001 2
    213   1.919738   0.857073   0.560614  4.051615e+06 -1.411326e+05 -1.234315e+07 4.001 2
    214   1.938299   2.103594   0.853898 -1.117746e+07  2.284692e+06  6.215583e+06 4.001 2
    215   1.994969   0.289322   0.019405 -8.371725e+06  3.318483e+05 -9.929396e+06 4.001 2
    216   2.392974  -0.284442   0.231867  1.255402e+07  3.144971e+06 -1.137816e+06 4.001 2
    217   1.349061  -2.200078   0.280385 -1.005297e+07 -8.037917e+06  1.765908e+06 4.001 2
    218   2.054640  -1.613679  -0.117671 -1.015812e+07 -4.713127e+05  8.085744e+06 4.001 2
    219   2.245024  -2.677564  -0.258480  3.547940e+06  1.027008e+07  7.122243e+06 4.001 2
    220   1.696985   2.688348  -0.265272  1.032066e+07 -1.531272e+06  7.741314e+06 4.001 2
    221   1.973402  -2.570453  -0.689119  1.287136e+06 -9.016742e+06  9.264472e+06 4.001 2
    222   2.205628  -0.583316  -0.173427  7.095729e+06  7.466997e+06  7.917284e+06 4.001 2
    223   1.833094  -0.668570  -0.744390 -1.137800e+07 -6.138401e+06  1.284486e+06 4.001 2
    224   1.770716  -2.087204  -0.022736  1.049717e+07  3.550373e+06  6.781827e+06 4.001 2
    225   2.084031  -0.669853  -0.486868 -8.781117e+06  4.031987e+06 -8.684692e+06 4.001 2
    226   2.075768  -0.413610   0.211609  1.284203e+07  1.450538e+06  1.329275e+06 4.001 2
    227   1.884344  -0.531544  -0.494741  2.920231e+06  1.260321e+06  1.259653e+07 4.001 2
    228   1.556444  -1.459066  -0.156406  6.950592e+06  1.116460e+06 -1.091932e+07 4.001 2
    229   1.922803   1.955086  -0.269875  1.291259e+07  1.130094e+06 -8.812872e+05 4.001 2
    230   1.982776   0.839057   0.341757  1.292599e+07 -4.522257e+05 -1.225974e+06 4.001 2
    231   1.541616  -1.882993   0.506020  1.307472e+06 -2.991670e+06 -1.257494e+07 4.001 2
    232   1.988304   1.505673  -0.129089 -4.641777e+06  8.804548e+06  8.350009e+06 4.001 2
    233   1.916841   2.218573   0.726841 -2.955949e+06  1.301094e+06 -1.258405e+07 4.001 2
    234   2.126063   2.810367  -0.419437  7.818526e+06  4.975435e+05 -1.036397e+07 4.001 2
    235   1.360413   1.948883  -0.121095 -4.318553e+06  4.358469e+06 -1.145175e+07 4.001 2
    236   1.993227  -2.252779  -0.423745 -2.886453e+06  7.255071e+06  1.038370e+07 4.001 2
    237   1.299574  -2.939091   0.180070 -9.617651e+06 -8.614401e+06 -1.442806e+06 4.001 2
    238   1.862505   0.509444   0.226870  8.906219e+06  2.258537e+06  9.185155e+06 4.001 2
    239   1.637225  -1.818832   0.076253  1.143446e+07 -5.595417e+06 -2.594854e+06 4.001 2
    240   1.949285  -2.518452  -0.846752  4.282396e+06  6.924513e+06  1.012428e+07 4.001 2
    241   1.332431  -1.270305  -0.008474  5.729465e+06  9.167729e+06 -7.205191e+06 4.001 2
    242   2.179014  -2.561081   0.412323  1.178544e+07 -1.577677e+06 -5.234806e+06 4.001 2
    243   1.848988  -0.900755  -0.527432 -1.248327e+07 -6.726799e+05 -3.536138e+06 4.001 2
    244   2.042441  -1.133550   0.306529  7.616843e+06  2.156074e+06  1.030164e+07 4.001 2
    245   1.502203  -1.419248  -0.299507  1.240112e+07 -3.402637e+06  1.850189e+06 4.001 2
    246   1.755339  -0.907671  -0.185545  2.041969e+06 -4.544964e+06 -1.199844e+07 4.001 2
    247   1.416915  -1.849621  -0.011498  4.456291e+06 -3.273691e+06  1.175641e+07 4.001 2
    248   1.518293   0.344509  -0.515929  4.893950e+06 -9.597798e+06  7.260877e+06 4.001 2
    249   1.399056   2.798333   0.486455  4.928326e+06  5.514970e+06 -1.068108e+07 4.001 2
    250   1.994376  -2.952511  -0.749804  9.430207e+06 -2.577967e+03  8.936442e+06 4.001 2
    251   2.296773   2.807277  -0.092137  1.143552e+07  1.922805e+06  5.858378e+06 4.001 2
    252   1.752734  -0.000554   0.842140 -9.853384e+05 -6.678735e+06 -1.110011e+07 4.001 2
    253   2.316000   0.905860  -0.406328 -9.908287e+06  8.317196e+06  1.199544e+06 4.001 2
    254   2.371419   0.566503   0.033298 -7.509564e+05  1.062256e+07  7.442185e+06 4.001 2
    255   1.717652   3.075503  -0.468302 -4.535494e+06  6.883759e+06  1.004151e+07 4.001 2
    256   2.107063   0.062223  -0.635324  4.506521e+06 -2.897123e+06  1.183582e+07 4.001 2
    257   1.931905   1.167782   0.717591  1.220958e+07 -3.088133e+06  3.190357e+06 4.001 2
    258   1.978675  -1.551348  -0.036958 -3.488180e+06  3.915868e+06  1.188644e+07 4.001 2
    259   2.012227  -0.463072   0.546044 -1.229585e+07 -1.551051e+05 -4.192463e+06 4.001 2
    260   1.457575   2.331352   0.651504  6.106801e+06 -4.377508e+06  1.059874e+07 4.001 2
    261   1.527147  -0.761601   0.302093 -1.298317e+07 -1.639448e+05  4.462479e+05 4.001 2
    262   1.607689   0.046051   0.763545  7.493065e+06  7.159048e+06  7.835229e+06 4.001 2
    263   1.532717  -0.303308  -0.280304  1.241113e+07  3.666103e+06  1.145628e+06 4.001 2
    264   1.509001   1.766595  -0.095956 -8.638344e+05 -2.720038e+06 -1.267454e+07 4.001 2
    265   1.707621   1.061582   0.032406  1.737534e+06  2.478941e+06 -1.263426e+07 4.001 2
    266   1.864396   2.867378   0.719980 -7.845093e+06  2.970781e+06  9.920573e+06 4.001 2
    267   1.440080  -2.864055   0.602927  1.164093e+07 -5.571790e+06 -1.494210e+06 4.001 2
    268   2.308878   2.478110   0.417490  3.092548e+06 -9.390152e+06 -8.429116e+06 4.001 2
    269   2.154153   1.715242   0.029452 -8.811288e+05 -1.211106e+06 -1.290526e+07 4.001 2
    270   1.617455  -2.847729   1.080489  3.035406e+06 -4.454884e+06 -1.182071e+07 4.001 2
